,turn_number,round_number_x,name_x,personality_vector_x,emotional_state_x,base_action_probs_x,location_state_x,conversation_partner_x,round_number_y,name_y,personality_vector_y,emotional_state_y,base_action_probs_y,location_state_y,conversation_partner_y,round_number,name
13,13,1,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.91334405 0.6410677  0.47364022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin,1.0,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.67701096 -0.83183278  0.74335229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy,1,laughs
14,14,2,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.67501096 -0.83083278  0.74435229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy,2.0,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.91834405 0.6420677  0.47364022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin,2,supports
15,15,2,Patrick,[-0.95883101  0.9398197   0.66488528 -0.57532178 -0.63635007],[-0.63319098 -0.39151551  0.04951286],"{shouts: 0.06957655625865215, shares: 0.04662475757045673, leaves_conversation: 0.03935654868128403, makes_smalltalk: 0.08150035254984699, makes_deeptalk: 0.04546877920488403, gives_controversial_opinion: 0.03787613302124162, changes_the_topic: 0.037121087533737426, shows_interest: 0.03781934306265424, shows_concern: 0.039432179326391176, laughs: 0.06520256203075359, jokes: 0.05041869048370279, gives_an_insult: 0.047498927867347156, brags: 0.06957655625865215, yawns: 0.06214830822444462, supports: 0.04896600353588321, rants: 0.06785699648862716, stands_in_corner: 0.03935654868128403, leaves_room: 0.0637809787364542, starts_conversation: 0.05041869048370279}",Hall,,,,,,,,,2,leaves_room
16,16,2,Ronnie,[-0.41754172  0.22370579 -0.72101228 -0.4157107  -0.26727631],[-0.08786003  0.57035192 -0.60065244],"{shouts: 0.04750938826597255, shares: 0.03917147959307089, leaves_conversation: 0.06252219443157461, makes_smalltalk: 0.049455121810569734, makes_deeptalk: 0.04086608454442072, gives_controversial_opinion: 0.034596397610084435, changes_the_topic: 0.04234156132178242, shows_interest: 0.04346375498994623, shows_concern: 0.04493859318692302, laughs: 0.07777022770059949, jokes: 0.03918400051067935, gives_an_insult: 0.057158347835430647, brags: 0.04750938826597255, yawns: 0.094319100909649, supports: 0.040880302387788704, rants: 0.04942995545853142, stands_in_corner: 0.06252219443157461, leaves_room: 0.08717790623475033, starts_conversation: 0.03918400051067935}",Lounge,,,,,,,,,2,leaves_room
17,17,2,Jacquelyn,[ 0.96646177 -0.06647421  0.71988081  0.36061508 -0.0990015 ],[-0.97347008  0.88440351  0.12657644],"{shouts: 0.052445717410354094, shares: 0.07247029334484488, leaves_conversation: 0.027831530741795858, makes_smalltalk: 0.03629581284382738, makes_deeptalk: 0.15513830236839052, gives_controversial_opinion: 0.038610040260932156, changes_the_topic: 0.03645575493241084, shows_interest: 0.07561150027972346, shows_concern: 0.04186961502001422, laughs: 0.047394630201543046, jokes: 0.04907004306581096, gives_an_insult: 0.03454111053385137, brags: 0.052445717410354094, yawns: 0.05809148047512842, supports: 0.061262321898391175, rants: 0.04326695322367296, stands_in_corner: 0.027831530741795858, leaves_room: 0.04029760218134763, starts_conversation: 0.04907004306581096}",Kitchen,,,,,,,,,2,leaves_room
18,18,2,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.01764618 -0.88222296  0.8131408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes,2.0,Agnes,[ 0.32504457 -0.37657785  0.04013604  0.09342056 -0.63029109],[0.95416926 0.60726565 0.92799788],"{shouts: 0.06293877301379446, shares: 0.055931751930627216, leaves_conversation: 0.03169354582602385, makes_smalltalk: 0.040178558389498284, makes_deeptalk: 0.0520078727840738, gives_controversial_opinion: 0.04099435654875522, changes_the_topic: 0.04888935203588551, shows_interest: 0.05351037244433987, shows_concern: 0.037365122936388426, laughs: 0.11487745372218866, jokes: 0.049468599742640895, gives_an_insult: 0.03562276817560996, brags: 0.06293877301379446, yawns: 0.08914720827855069, supports: 0.046691558640058105, rants: 0.043417833438641674, stands_in_corner: 0.03169354582602385, leaves_room: 0.053163953510464226, starts_conversation: 0.049468599742640895}",Kitchen,Phyllis,2,changes_the_topic
19,19,2,Agnes,[ 0.32504457 -0.37657785  0.04013604  0.09342056 -0.63029109],[0.94416926 0.55726565 0.90799788],"{shouts: 0.06293877301379446, shares: 0.055931751930627216, leaves_conversation: 0.03169354582602385, makes_smalltalk: 0.040178558389498284, makes_deeptalk: 0.0520078727840738, gives_controversial_opinion: 0.04099435654875522, changes_the_topic: 0.04888935203588551, shows_interest: 0.05351037244433987, shows_concern: 0.037365122936388426, laughs: 0.11487745372218866, jokes: 0.049468599742640895, gives_an_insult: 0.03562276817560996, brags: 0.06293877301379446, yawns: 0.08914720827855069, supports: 0.046691558640058105, rants: 0.043417833438641674, stands_in_corner: 0.03169354582602385, leaves_room: 0.053163953510464226, starts_conversation: 0.049468599742640895}",Kitchen,Phyllis,2.0,Phyllis,[-0.39077246 -0.80465577  0.36846605 -0.11969501 -0.75592353],[-0.00764618 -0.83222296  0.8231408 ],"{shouts: 0.07512817058796054, shares: 0.04849921846976797, leaves_conversation: 0.03316722456491322, makes_smalltalk: 0.059887771454660406, makes_deeptalk: 0.04488410157223622, gives_controversial_opinion: 0.047340903884494946, changes_the_topic: 0.0494116868580792, shows_interest: 0.039769321797751035, shows_concern: 0.036912693202623345, laughs: 0.08434803181934175, jokes: 0.05347685505961983, gives_an_insult: 0.038712030141472675, brags: 0.07512817058796054, yawns: 0.06871296215030313, supports: 0.048741640913173394, rants: 0.05312835898043517, stands_in_corner: 0.03316722456491322, leaves_room: 0.056106778330673714, starts_conversation: 0.05347685505961983}",Kitchen,Agnes,2,shouts
20,20,2,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.92234405 0.6420677  0.47374022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin,2.0,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.67201096 -0.83083278  0.74415229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy,2,gives_controversial_opinion
21,21,3,Robin,[-0.25091976  0.90142861  0.46398788  0.19731697 -0.68796272],[-0.68201096 -0.80083278  0.77415229],"{shouts: 0.07655987180318331, shares: 0.05214043044055023, leaves_conversation: 0.03229397311430043, makes_smalltalk: 0.059193911751783096, makes_deeptalk: 0.04895843300031232, gives_controversial_opinion: 0.03298589065217231, changes_the_topic: 0.03315694789892485, shows_interest: 0.045303135962283525, shows_concern: 0.04075600911988259, laughs: 0.07877462827221966, jokes: 0.0632321916336573, gives_an_insult: 0.03764411188021633, brags: 0.07655987180318331, yawns: 0.06892185772365128, supports: 0.057785780495236964, rants: 0.049806002598201705, stands_in_corner: 0.03229397311430043, leaves_room: 0.050400787102283094, starts_conversation: 0.0632321916336573}",Lounge,Dorothy,3.0,Dorothy,[ 0.85331773  0.45454399 -0.34691846  0.14088795  0.04166852],[0.93234405 0.6720677  0.50374022],"{shouts: 0.046286777489831114, shares: 0.05122015383486715, leaves_conversation: 0.04801591767428388, makes_smalltalk: 0.03882643234809704, makes_deeptalk: 0.06325010421395989, gives_controversial_opinion: 0.036093256130044334, changes_the_topic: 0.042164521612617925, shows_interest: 0.0871031226954823, shows_concern: 0.055181555096054526, laughs: 0.06182656567550359, jokes: 0.04249598761669677, gives_an_insult: 0.050210072220450985, brags: 0.046286777489831114, yawns: 0.08757061854766983, supports: 0.04864857143397375, rants: 0.04513923728203039, stands_in_corner: 0.04801591767428388, leaves_room: 0.059168423347624684, starts_conversation: 0.04249598761669677}",Lounge,Robin,3,gives_controversial_opinion
22,22,3,Patrick,[-0.95883101  0.9398197   0.66488528 -0.57532178 -0.63635007],[-0.63319098 -0.39151551  0.04951286],"{shouts: 0.06957655625865215, shares: 0.04662475757045673, leaves_conversation: 0.03935654868128403, makes_smalltalk: 0.08150035254984699, makes_deeptalk: 0.04546877920488403, gives_controversial_opinion: 0.03787613302124162, changes_the_topic: 0.037121087533737426, shows_interest: 0.03781934306265424, shows_concern: 0.039432179326391176, laughs: 0.06520256203075359, jokes: 0.05041869048370279, gives_an_insult: 0.047498927867347156, brags: 0.06957655625865215, yawns: 0.06214830822444462, supports: 0.04896600353588321, rants: 0.06785699648862716, stands_in_corner: 0.03935654868128403, leaves_room: 0.0637809787364542, starts_conversation: 0.05041869048370279}",Kitchen,,,,,,,,,3,leaves_room
23,23,3,Ronnie,[-0.41754172  0.22370579 -0.72101228 -0.4157107  -0.26727631],[-0.08786003  0.57035192 -0.60065244],"{shouts: 0.04750938826597255, shares: 0.03917147959307089, leaves_conversation: 0.06252219443157461, makes_smalltalk: 0.049455121810569734, makes_deeptalk: 0.04086608454442072, gives_controversial_opinion: 0.034596397610084435, changes_the_topic: 0.04234156132178242, shows_interest: 0.04346375498994623, shows_concern: 0.04493859318692302, laughs: 0.07777022770059949, jokes: 0.03918400051067935, gives_an_insult: 0.057158347835430647, brags: 0.04750938826597255, yawns: 0.094319100909649, supports: 0.040880302387788704, rants: 0.04942995545853142, stands_in_corner: 0.06252219443157461, leaves_room: 0.08717790623475033, starts_conversation: 0.03918400051067935}",Hall,,,,,,,,,3,leaves_room
