,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,_action_name
110,-1.0,1.0,1.0,1.0,-1.0,starts_conversation
111,-1.0,1.0,1.0,1.0,1.0,yawns
112,1.0,-1.0,-1.0,-1.0,-1.0,changes_the_topic
113,1.0,-1.0,-1.0,-1.0,1.0,stands_in_corner
114,1.0,-1.0,-1.0,1.0,-1.0,yawns
115,1.0,-1.0,-1.0,1.0,1.0,leaves_room
116,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
117,1.0,-1.0,1.0,-1.0,1.0,laughs
118,1.0,-1.0,1.0,1.0,-1.0,jokes
119,1.0,-1.0,1.0,1.0,1.0,shows_interest
120,1.0,1.0,-1.0,-1.0,-1.0,stands_in_corner
121,1.0,1.0,-1.0,-1.0,1.0,brags
122,1.0,1.0,-1.0,1.0,-1.0,yawns
123,1.0,1.0,-1.0,1.0,1.0,changes_the_topic
124,1.0,1.0,1.0,-1.0,-1.0,shows_interest
125,1.0,1.0,1.0,-1.0,1.0,jokes
126,1.0,1.0,1.0,1.0,-1.0,brags
127,1.0,1.0,1.0,1.0,1.0,rants
128,-1.0,-1.0,-1.0,-1.0,-1.0,shouts
129,-1.0,-1.0,-1.0,-1.0,1.0,shares
130,-1.0,-1.0,-1.0,1.0,-1.0,shares
131,-1.0,-1.0,-1.0,1.0,1.0,shares
132,-1.0,-1.0,1.0,-1.0,-1.0,shouts
133,-1.0,-1.0,1.0,-1.0,1.0,supports
134,-1.0,-1.0,1.0,1.0,-1.0,shows_interest
135,-1.0,-1.0,1.0,1.0,1.0,leaves_conversation
136,-1.0,1.0,-1.0,-1.0,-1.0,changes_the_topic
137,-1.0,1.0,-1.0,-1.0,1.0,leaves_conversation
138,-1.0,1.0,-1.0,1.0,-1.0,laughs
139,-1.0,1.0,-1.0,1.0,1.0,laughs
140,-1.0,1.0,1.0,-1.0,-1.0,supports
141,-1.0,1.0,1.0,-1.0,1.0,leaves_room
142,-1.0,1.0,1.0,1.0,-1.0,stands_in_corner
143,-1.0,1.0,1.0,1.0,1.0,shows_interest
144,1.0,-1.0,-1.0,-1.0,-1.0,gives_controversial_opinion
145,1.0,-1.0,-1.0,-1.0,1.0,leaves_room
146,1.0,-1.0,-1.0,1.0,-1.0,shows_concern
147,1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
148,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
149,1.0,-1.0,1.0,-1.0,1.0,rants
150,1.0,-1.0,1.0,1.0,-1.0,gives_controversial_opinion
151,1.0,-1.0,1.0,1.0,1.0,leaves_conversation
152,1.0,1.0,-1.0,-1.0,-1.0,leaves_room
153,1.0,1.0,-1.0,-1.0,1.0,shouts
154,1.0,1.0,-1.0,1.0,-1.0,makes_smalltalk
155,1.0,1.0,-1.0,1.0,1.0,rants
156,1.0,1.0,1.0,-1.0,-1.0,shares
157,1.0,1.0,1.0,-1.0,1.0,brags
158,1.0,1.0,1.0,1.0,-1.0,makes_smalltalk
159,1.0,1.0,1.0,1.0,1.0,rants
160,-1.0,-1.0,-1.0,-1.0,-1.0,leaves_conversation
161,-1.0,-1.0,-1.0,-1.0,1.0,starts_conversation
162,-1.0,-1.0,-1.0,1.0,-1.0,shouts
163,-1.0,-1.0,-1.0,1.0,1.0,shares
164,-1.0,-1.0,1.0,-1.0,-1.0,starts_conversation
165,-1.0,-1.0,1.0,-1.0,1.0,changes_the_topic
166,-1.0,-1.0,1.0,1.0,-1.0,shows_interest
167,-1.0,-1.0,1.0,1.0,1.0,leaves_room
168,-1.0,1.0,-1.0,-1.0,-1.0,yawns
169,-1.0,1.0,-1.0,-1.0,1.0,stands_in_corner
170,-1.0,1.0,-1.0,1.0,-1.0,makes_smalltalk
171,-1.0,1.0,-1.0,1.0,1.0,changes_the_topic
172,-1.0,1.0,1.0,-1.0,-1.0,gives_controversial_opinion
173,-1.0,1.0,1.0,-1.0,1.0,leaves_room
174,-1.0,1.0,1.0,1.0,-1.0,gives_an_insult
175,-1.0,1.0,1.0,1.0,1.0,gives_controversial_opinion
176,1.0,-1.0,-1.0,-1.0,-1.0,gives_an_insult
177,1.0,-1.0,-1.0,-1.0,1.0,leaves_room
178,1.0,-1.0,-1.0,1.0,-1.0,laughs
179,1.0,-1.0,-1.0,1.0,1.0,starts_conversation
180,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
181,1.0,-1.0,1.0,-1.0,1.0,gives_controversial_opinion
182,1.0,-1.0,1.0,1.0,-1.0,makes_deeptalk
183,1.0,-1.0,1.0,1.0,1.0,stands_in_corner
184,1.0,1.0,-1.0,-1.0,-1.0,stands_in_corner
185,1.0,1.0,-1.0,-1.0,1.0,shows_concern
186,1.0,1.0,-1.0,1.0,-1.0,changes_the_topic
187,1.0,1.0,-1.0,1.0,1.0,brags
188,1.0,1.0,1.0,-1.0,-1.0,makes_smalltalk
189,1.0,1.0,1.0,-1.0,1.0,jokes
190,1.0,1.0,1.0,1.0,-1.0,gives_an_insult
191,1.0,1.0,1.0,1.0,1.0,yawns
192,-1.0,-1.0,-1.0,-1.0,-1.0,leaves_room
193,-1.0,-1.0,-1.0,-1.0,1.0,rants
194,-1.0,-1.0,-1.0,1.0,-1.0,rants
195,-1.0,-1.0,-1.0,1.0,1.0,leaves_conversation
196,-1.0,-1.0,1.0,-1.0,-1.0,shares
197,-1.0,-1.0,1.0,-1.0,1.0,laughs
198,-1.0,-1.0,1.0,1.0,-1.0,shows_interest
199,-1.0,-1.0,1.0,1.0,1.0,starts_conversation
200,-1.0,1.0,-1.0,-1.0,-1.0,makes_smalltalk
201,-1.0,1.0,-1.0,-1.0,1.0,leaves_room
202,-1.0,1.0,-1.0,1.0,-1.0,shares
203,-1.0,1.0,-1.0,1.0,1.0,brags
204,-1.0,1.0,1.0,-1.0,-1.0,shouts
205,-1.0,1.0,1.0,-1.0,1.0,starts_conversation
206,-1.0,1.0,1.0,1.0,-1.0,gives_an_insult
207,-1.0,1.0,1.0,1.0,1.0,rants
208,1.0,-1.0,-1.0,-1.0,-1.0,makes_smalltalk
209,1.0,-1.0,-1.0,-1.0,1.0,brags
210,1.0,-1.0,-1.0,1.0,-1.0,brags
211,1.0,-1.0,-1.0,1.0,1.0,shares
212,1.0,-1.0,1.0,-1.0,-1.0,jokes
213,1.0,-1.0,1.0,-1.0,1.0,changes_the_topic
214,1.0,-1.0,1.0,1.0,-1.0,shares
215,1.0,-1.0,1.0,1.0,1.0,gives_an_insult
216,1.0,1.0,-1.0,-1.0,-1.0,leaves_room
217,1.0,1.0,-1.0,-1.0,1.0,shares
218,1.0,1.0,-1.0,1.0,-1.0,gives_controversial_opinion
219,1.0,1.0,-1.0,1.0,1.0,stands_in_corner
220,1.0,1.0,1.0,-1.0,-1.0,gives_controversial_opinion
221,1.0,1.0,1.0,-1.0,1.0,shows_concern
222,1.0,1.0,1.0,1.0,-1.0,supports
223,1.0,1.0,1.0,1.0,1.0,leaves_conversation
224,-1.0,-1.0,-1.0,-1.0,-1.0,shows_interest
225,-1.0,-1.0,-1.0,-1.0,1.0,yawns
226,-1.0,-1.0,-1.0,1.0,-1.0,rants
227,-1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
228,-1.0,-1.0,1.0,-1.0,-1.0,rants
229,-1.0,-1.0,1.0,-1.0,1.0,laughs
230,-1.0,-1.0,1.0,1.0,-1.0,shouts
231,-1.0,-1.0,1.0,1.0,1.0,shows_interest
232,-1.0,1.0,-1.0,-1.0,-1.0,starts_conversation
233,-1.0,1.0,-1.0,-1.0,1.0,leaves_room
234,-1.0,1.0,-1.0,1.0,-1.0,laughs
235,-1.0,1.0,-1.0,1.0,1.0,shouts
236,-1.0,1.0,1.0,-1.0,-1.0,gives_controversial_opinion
237,-1.0,1.0,1.0,-1.0,1.0,brags
238,-1.0,1.0,1.0,1.0,-1.0,shows_interest
239,-1.0,1.0,1.0,1.0,1.0,jokes
240,1.0,-1.0,-1.0,-1.0,-1.0,laughs
241,1.0,-1.0,-1.0,-1.0,1.0,makes_deeptalk
242,1.0,-1.0,-1.0,1.0,-1.0,supports
243,1.0,-1.0,-1.0,1.0,1.0,shows_interest
244,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
245,1.0,-1.0,1.0,-1.0,1.0,makes_smalltalk
246,1.0,-1.0,1.0,1.0,-1.0,shows_concern
247,1.0,-1.0,1.0,1.0,1.0,shares
248,1.0,1.0,-1.0,-1.0,-1.0,shows_concern
249,1.0,1.0,-1.0,-1.0,1.0,brags
250,1.0,1.0,-1.0,1.0,-1.0,gives_controversial_opinion
251,1.0,1.0,-1.0,1.0,1.0,stands_in_corner
252,1.0,1.0,1.0,-1.0,-1.0,changes_the_topic
253,1.0,1.0,1.0,-1.0,1.0,shares
254,1.0,1.0,1.0,1.0,-1.0,changes_the_topic
255,1.0,1.0,1.0,1.0,1.0,stands_in_corner
256,-1.0,-1.0,-1.0,-1.0,-1.0,gives_controversial_opinion
257,-1.0,-1.0,-1.0,-1.0,1.0,gives_controversial_opinion
258,-1.0,-1.0,-1.0,1.0,-1.0,gives_an_insult
259,-1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
260,-1.0,-1.0,1.0,-1.0,-1.0,rants
261,-1.0,-1.0,1.0,-1.0,1.0,brags
262,-1.0,-1.0,1.0,1.0,-1.0,shares
263,-1.0,-1.0,1.0,1.0,1.0,shares
264,-1.0,1.0,-1.0,-1.0,-1.0,makes_deeptalk
265,-1.0,1.0,-1.0,-1.0,1.0,starts_conversation
266,-1.0,1.0,-1.0,1.0,-1.0,shouts
267,-1.0,1.0,-1.0,1.0,1.0,shouts
268,-1.0,1.0,1.0,-1.0,-1.0,yawns
269,-1.0,1.0,1.0,-1.0,1.0,supports
270,-1.0,1.0,1.0,1.0,-1.0,makes_smalltalk
271,-1.0,1.0,1.0,1.0,1.0,jokes
272,1.0,-1.0,-1.0,-1.0,-1.0,jokes
273,1.0,-1.0,-1.0,-1.0,1.0,laughs
274,1.0,-1.0,-1.0,1.0,-1.0,gives_controversial_opinion
275,1.0,-1.0,-1.0,1.0,1.0,gives_controversial_opinion
276,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
277,1.0,-1.0,1.0,-1.0,1.0,shows_concern
278,1.0,-1.0,1.0,1.0,-1.0,gives_controversial_opinion
279,1.0,-1.0,1.0,1.0,1.0,supports
280,1.0,1.0,-1.0,-1.0,-1.0,shows_concern
281,1.0,1.0,-1.0,-1.0,1.0,shows_interest
282,1.0,1.0,-1.0,1.0,-1.0,shares
283,1.0,1.0,-1.0,1.0,1.0,shouts
284,1.0,1.0,1.0,-1.0,-1.0,rants
285,1.0,1.0,1.0,-1.0,1.0,changes_the_topic
286,1.0,1.0,1.0,1.0,-1.0,shouts
287,1.0,1.0,1.0,1.0,1.0,stands_in_corner
288,-1.0,-1.0,-1.0,-1.0,-1.0,makes_smalltalk
289,-1.0,-1.0,-1.0,-1.0,1.0,laughs
290,-1.0,-1.0,-1.0,1.0,-1.0,shouts
291,-1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
292,-1.0,-1.0,1.0,-1.0,-1.0,shouts
293,-1.0,-1.0,1.0,-1.0,1.0,yawns
294,-1.0,-1.0,1.0,1.0,-1.0,changes_the_topic
295,-1.0,-1.0,1.0,1.0,1.0,makes_deeptalk
296,-1.0,1.0,-1.0,-1.0,-1.0,yawns
297,-1.0,1.0,-1.0,-1.0,1.0,yawns
298,-1.0,1.0,-1.0,1.0,-1.0,yawns
299,-1.0,1.0,-1.0,1.0,1.0,leaves_conversation
300,-1.0,1.0,1.0,-1.0,-1.0,shouts
301,-1.0,1.0,1.0,-1.0,1.0,yawns
302,-1.0,1.0,1.0,1.0,-1.0,yawns
303,-1.0,1.0,1.0,1.0,1.0,jokes
304,1.0,-1.0,-1.0,-1.0,-1.0,laughs
305,1.0,-1.0,-1.0,-1.0,1.0,rants
306,1.0,-1.0,-1.0,1.0,-1.0,rants
307,1.0,-1.0,-1.0,1.0,1.0,makes_deeptalk
308,1.0,-1.0,1.0,-1.0,-1.0,laughs
309,1.0,-1.0,1.0,-1.0,1.0,gives_controversial_opinion
310,1.0,-1.0,1.0,1.0,-1.0,shares
311,1.0,-1.0,1.0,1.0,1.0,shows_concern
312,1.0,1.0,-1.0,-1.0,-1.0,makes_deeptalk
313,1.0,1.0,-1.0,-1.0,1.0,changes_the_topic
314,1.0,1.0,-1.0,1.0,-1.0,jokes
315,1.0,1.0,-1.0,1.0,1.0,yawns
316,1.0,1.0,1.0,-1.0,-1.0,leaves_conversation
317,1.0,1.0,1.0,-1.0,1.0,stands_in_corner
318,1.0,1.0,1.0,1.0,-1.0,brags
319,1.0,1.0,1.0,1.0,1.0,leaves_room
320,-1.0,-1.0,-1.0,-1.0,-1.0,rants
321,-1.0,-1.0,-1.0,-1.0,1.0,leaves_conversation
322,-1.0,-1.0,-1.0,1.0,-1.0,makes_smalltalk
323,-1.0,-1.0,-1.0,1.0,1.0,starts_conversation
324,-1.0,-1.0,1.0,-1.0,-1.0,gives_an_insult
325,-1.0,-1.0,1.0,-1.0,1.0,yawns
326,-1.0,-1.0,1.0,1.0,-1.0,changes_the_topic
327,-1.0,-1.0,1.0,1.0,1.0,yawns
328,-1.0,1.0,-1.0,-1.0,-1.0,yawns
329,-1.0,1.0,-1.0,-1.0,1.0,shares
330,-1.0,1.0,-1.0,1.0,-1.0,starts_conversation
331,-1.0,1.0,-1.0,1.0,1.0,leaves_room
332,-1.0,1.0,1.0,-1.0,-1.0,leaves_conversation
333,-1.0,1.0,1.0,-1.0,1.0,makes_smalltalk
334,-1.0,1.0,1.0,1.0,-1.0,makes_smalltalk
335,-1.0,1.0,1.0,1.0,1.0,supports
336,1.0,-1.0,-1.0,-1.0,-1.0,starts_conversation
337,1.0,-1.0,-1.0,-1.0,1.0,gives_controversial_opinion
338,1.0,-1.0,-1.0,1.0,-1.0,stands_in_corner
339,1.0,-1.0,-1.0,1.0,1.0,shares
340,1.0,-1.0,1.0,-1.0,-1.0,gives_controversial_opinion
341,1.0,-1.0,1.0,-1.0,1.0,gives_an_insult
342,1.0,-1.0,1.0,1.0,-1.0,shares
343,1.0,-1.0,1.0,1.0,1.0,rants
344,1.0,1.0,-1.0,-1.0,-1.0,makes_smalltalk
345,1.0,1.0,-1.0,-1.0,1.0,laughs
346,1.0,1.0,-1.0,1.0,-1.0,brags
347,1.0,1.0,-1.0,1.0,1.0,gives_controversial_opinion
348,1.0,1.0,1.0,-1.0,-1.0,leaves_room
349,1.0,1.0,1.0,-1.0,1.0,supports
350,1.0,1.0,1.0,1.0,-1.0,leaves_conversation
351,1.0,1.0,1.0,1.0,1.0,leaves_conversation
352,-1.0,-1.0,-1.0,-1.0,-1.0,changes_the_topic
353,-1.0,-1.0,-1.0,-1.0,1.0,starts_conversation
354,-1.0,-1.0,-1.0,1.0,-1.0,brags
355,-1.0,-1.0,-1.0,1.0,1.0,leaves_room
356,-1.0,-1.0,1.0,-1.0,-1.0,brags
357,-1.0,-1.0,1.0,-1.0,1.0,gives_an_insult
358,-1.0,-1.0,1.0,1.0,-1.0,shares
359,-1.0,-1.0,1.0,1.0,1.0,shouts
360,-1.0,1.0,-1.0,-1.0,-1.0,supports
361,-1.0,1.0,-1.0,-1.0,1.0,shows_interest
362,-1.0,1.0,-1.0,1.0,-1.0,laughs
363,-1.0,1.0,-1.0,1.0,1.0,stands_in_corner
364,-1.0,1.0,1.0,-1.0,-1.0,shows_interest
365,-1.0,1.0,1.0,-1.0,1.0,shows_concern
366,-1.0,1.0,1.0,1.0,-1.0,shouts
367,-1.0,1.0,1.0,1.0,1.0,changes_the_topic
368,1.0,-1.0,-1.0,-1.0,-1.0,changes_the_topic
369,1.0,-1.0,-1.0,-1.0,1.0,brags
370,1.0,-1.0,-1.0,1.0,-1.0,starts_conversation
371,1.0,-1.0,-1.0,1.0,1.0,leaves_conversation
372,1.0,-1.0,1.0,-1.0,-1.0,jokes
373,1.0,-1.0,1.0,-1.0,1.0,rants
374,1.0,-1.0,1.0,1.0,-1.0,shouts
375,1.0,-1.0,1.0,1.0,1.0,brags
376,1.0,1.0,-1.0,-1.0,-1.0,jokes
377,1.0,1.0,-1.0,-1.0,1.0,starts_conversation
378,1.0,1.0,-1.0,1.0,-1.0,jokes
379,1.0,1.0,-1.0,1.0,1.0,makes_deeptalk
380,1.0,1.0,1.0,-1.0,-1.0,makes_deeptalk
381,1.0,1.0,1.0,-1.0,1.0,shows_interest
382,1.0,1.0,1.0,1.0,-1.0,stands_in_corner
383,1.0,1.0,1.0,1.0,1.0,stands_in_corner
384,-1.0,-1.0,-1.0,-1.0,-1.0,shows_concern
385,-1.0,-1.0,-1.0,-1.0,1.0,shares
386,-1.0,-1.0,-1.0,1.0,-1.0,shows_concern
387,-1.0,-1.0,-1.0,1.0,1.0,leaves_room
388,-1.0,-1.0,1.0,-1.0,-1.0,shows_concern
389,-1.0,-1.0,1.0,-1.0,1.0,jokes
390,-1.0,-1.0,1.0,1.0,-1.0,rants
391,-1.0,-1.0,1.0,1.0,1.0,gives_controversial_opinion
392,-1.0,1.0,-1.0,-1.0,-1.0,jokes
393,-1.0,1.0,-1.0,-1.0,1.0,gives_an_insult
394,-1.0,1.0,-1.0,1.0,-1.0,shares
395,-1.0,1.0,-1.0,1.0,1.0,rants
396,-1.0,1.0,1.0,-1.0,-1.0,jokes
397,-1.0,1.0,1.0,-1.0,1.0,supports
398,-1.0,1.0,1.0,1.0,-1.0,shares
399,-1.0,1.0,1.0,1.0,1.0,gives_controversial_opinion
400,1.0,-1.0,-1.0,-1.0,-1.0,gives_controversial_opinion
401,1.0,-1.0,-1.0,-1.0,1.0,starts_conversation
402,1.0,-1.0,-1.0,1.0,-1.0,makes_smalltalk
403,1.0,-1.0,-1.0,1.0,1.0,gives_controversial_opinion
404,1.0,-1.0,1.0,-1.0,-1.0,changes_the_topic
405,1.0,-1.0,1.0,-1.0,1.0,shows_concern
406,1.0,-1.0,1.0,1.0,-1.0,shares
407,1.0,-1.0,1.0,1.0,1.0,leaves_conversation
408,1.0,1.0,-1.0,-1.0,-1.0,leaves_conversation
409,1.0,1.0,-1.0,-1.0,1.0,brags
410,1.0,1.0,-1.0,1.0,-1.0,shows_concern
411,1.0,1.0,-1.0,1.0,1.0,shows_concern
412,1.0,1.0,1.0,-1.0,-1.0,laughs
413,1.0,1.0,1.0,-1.0,1.0,laughs
414,1.0,1.0,1.0,1.0,-1.0,rants
415,1.0,1.0,1.0,1.0,1.0,stands_in_corner
416,-1.0,-1.0,-1.0,-1.0,-1.0,shares
417,-1.0,-1.0,-1.0,-1.0,1.0,makes_smalltalk
418,-1.0,-1.0,-1.0,1.0,-1.0,rants
419,-1.0,-1.0,-1.0,1.0,1.0,stands_in_corner
420,-1.0,-1.0,1.0,-1.0,-1.0,shouts
421,-1.0,-1.0,1.0,-1.0,1.0,makes_deeptalk
422,-1.0,-1.0,1.0,1.0,-1.0,makes_deeptalk
423,-1.0,-1.0,1.0,1.0,1.0,shares
424,-1.0,1.0,-1.0,-1.0,-1.0,stands_in_corner
425,-1.0,1.0,-1.0,-1.0,1.0,yawns
426,-1.0,1.0,-1.0,1.0,-1.0,shares
427,-1.0,1.0,-1.0,1.0,1.0,gives_controversial_opinion
428,-1.0,1.0,1.0,-1.0,-1.0,gives_controversial_opinion
429,-1.0,1.0,1.0,-1.0,1.0,stands_in_corner
430,-1.0,1.0,1.0,1.0,-1.0,laughs
431,-1.0,1.0,1.0,1.0,1.0,shows_interest
432,1.0,-1.0,-1.0,-1.0,-1.0,shows_concern
433,1.0,-1.0,-1.0,-1.0,1.0,gives_controversial_opinion
434,1.0,-1.0,-1.0,1.0,-1.0,brags
435,1.0,-1.0,-1.0,1.0,1.0,gives_controversial_opinion
436,1.0,-1.0,1.0,-1.0,-1.0,changes_the_topic
437,1.0,-1.0,1.0,-1.0,1.0,makes_smalltalk
438,1.0,-1.0,1.0,1.0,-1.0,shares
439,1.0,-1.0,1.0,1.0,1.0,leaves_room
440,1.0,1.0,-1.0,-1.0,-1.0,starts_conversation
441,1.0,1.0,-1.0,-1.0,1.0,supports
442,1.0,1.0,-1.0,1.0,-1.0,laughs
443,1.0,1.0,-1.0,1.0,1.0,yawns
444,1.0,1.0,1.0,-1.0,-1.0,shouts
445,1.0,1.0,1.0,-1.0,1.0,changes_the_topic
446,1.0,1.0,1.0,1.0,-1.0,changes_the_topic
447,1.0,1.0,1.0,1.0,1.0,stands_in_corner
448,-1.0,-1.0,-1.0,-1.0,-1.0,laughs
449,-1.0,-1.0,-1.0,-1.0,1.0,shows_interest
450,-1.0,-1.0,-1.0,1.0,-1.0,shares
451,-1.0,-1.0,-1.0,1.0,1.0,leaves_room
452,-1.0,-1.0,1.0,-1.0,-1.0,shares
453,-1.0,-1.0,1.0,-1.0,1.0,changes_the_topic
454,-1.0,-1.0,1.0,1.0,-1.0,shows_interest
